supplier_id;name;swsdfid;swsdfusdid;swsdpid;navid;swsdfid_ari;swsdpid_ari
362;яоеж.йнмяхцмюжхъ;0;0;16222628;0;(null);(null)
363;ярюпше онярюбыхйх;0;0;15660793;0;(null);(null)
364;рам рюил - дхярпхасжхъ;0;0;15946226;0;(null);(null)
365;рлут;0;0;15115887;0;(null);(null)
366;сдюкеммши нтхя;0;0;9662694;0;(null);(null)
367;PR 123366 PREMIER PORTFOLIO;0;0;12489786;0;(null);(null)
368;AM10001 A.MARTINI пхьщя;0;0;15233565;0;(null);(null)
369;AE3333 AEGNA;0;0;16222218;0;(null);(null)
370;AP 12345 AGENT PROVOCATEUR-едхмюъ ебпною;0;0;15640999;0;(null);(null)
372;P80000 ARMANI;0;0;14877523;(null);(null);(null)
373;AAT00001 ART ALIANCE TRADING;0;0;16222230;0;(null);(null)
374;B23456 BALDESSARINI -едхмюъ ебпною;0;0;14030123;0;(null);(null)
375;B99999 BIOTHERM SKY;0;0;13672106;0;(null);(null)
376;B56789 BOBBY BROWN;0;0;15980829;0;(null);(null)
377;B00002 BONA CONFECTIONARY ZAO;0;0;10902898;0;(null);(null)
378;B34567 BOSS - едхмюъ ебпною;0;0;14008004;0;(null);(null)
379;B87452 BRIC'S;42521079;42521079;16150193;0;(null);(null)
380;BR00005 BROSWAY;0;0;15979121;0;(null);(null)
381;B13578 BVLGARY - едхмюъ ебпною;0;0;14008192;0;(null);(null)
382;CH12345 C.HERRERA - едхмюъ ебпною;0;0;14008006;0;(null);(null)
383;C34678 CALVIN KLEIN - едхмюъ ебпною;0;0;14008005;0;(null);(null)
385;CE32100 CERRUTI - едхмюъ ебпною;0;0;15012418;0;(null);(null)
386;C54320 CHLOE - едхмюъ ебпною;0;0;14008007;0;(null);(null)
387;CO2222 CODELLO;0;0;16145612;0;(null);(null)
388;я33311 COFFEE BREND DISTRIBUTION;0;0;13527375;0;(null);(null)
389;CC87654 COMME DES GARCONS едхмюъ ебпною;0;0;15582048;0;(null);(null)
390;C23456 COTY;0;0;15091267;0;(null);(null)
391;C32165 CURAPROX;0;0;14888364;0;(null);(null)
392;D35678 D&G - едхмюъ ебпною;0;0;14008010;0;(null);(null)
393;E16100 DELSEY ELIT BAGS;0;0;16064646;0;(null);(null)
394;DG23456 DOLCE&GABBANA - едхмюъ ебпною;0;0;14008124;0;(null);(null)
395;E34567 ESCADA - едхмюъ ебпною;0;0;14030159;0;(null);(null)
396;E11115 EUROITALIA DP;0;0;13085509;0;(null);(null)
397;F15666 FERRAGAMO - едхмюъ Eбпною;0;0;14008193;0;(null);(null)
398;F55555 FRUITBERRY - едхмюъ ебпною;0;0;15263234;0;(null);(null)
399;E17100 GIORGIO FEDON & FIGLI SPA;0;0;16222237;0;(null);(null)
400;E55552 GIULIETTA CAPULETI EXILITY;0;0;16223569;0;(null);(null)
401;G20304 GUCCI - едхмюъ ебпною;0;0;14008125;0;(null);(null)
402;HD98765 HANSE DISTRIBUTION GMBH;0;0;15481552;0;(null);(null)
403;AHK111 HELLO KITTY ARIAL;0;0;16223048;0;(null);(null)
404;HK11111 HELLO KITTY пхьея;0;0;15357863;0;(null);(null)
405;I44444 ICE WATCH;0;0;15103684;0;(null);(null)
406;I13567 ICEBERG - едхмюъ ебпною;0;0;14875506;0;(null);(null)
407;I33333 INTEL MSK;0;0;16223195;0;(null);(null)
408;JL22222 JACQUES LEMANS;0;0;15098136;0;(null);(null)
409;JB00700 JAMES BOND едхмюъ ебпною;0;0;15582039;0;(null);(null)
