supplier_id;name;swsdfid;swsdpid;Vendor No_
1061;IL98766 HISTOIRES DE PARFUMES хо хкэхмю;44513352;16164160;
1062;IL98767 HOUBIGANT хо хкэхмю;44513353;16164158;
1103;IL98768 MEMO хо хкэхмю;44513354;16164156;
1128;IL98769 PRUDENCE хо хкэхмю;44513355;16164157;
431;IRISHBAR DP;0;10971587;
1225;ISUP156 дшлнбяйне йнкаюямне опнхгбндярбн ннн;0;16223847;I_SUP156
1189;ISUP402 ннн онйпнбяйхи опъмхй;45125301;16223632;
1222;ISUP419 хйпю.пс тсдяепбхя ннн;45125927;0;I_SUP419
1243;ISUP431 ннн рнпцнбши днл псядек;0;16223893;I_SUP072
136;J00001 JANEKE;0;13672184;
1067;J00007 JAMES BOND P&G;42793944;0;
1066;J10142 JAGERMEISTER;43914265;0;
410;J11154 JUICY COUTURE - едхмюъ ебпною;0;15439137;
1074;J12345 JUPITER OOO;23738398;0;
137;J20060 JULES DESTROOPER;10907208;15971592;
692;J33456 JSL SPEDITION GMBH;10923361;0;
1068;J52222 JANEKE;24722453;0;
694;J78321 JAPAN TOBACCO INT CO;10907565;0;
139;J99998 KRAFT JAKOBS SUCHARD;0;15861659;
696;J99998 MONDELEZ WORLD TRAVEL RETAIL LLC;10907312;0;
140;J99999 JSL TRADING AG;0;15601393;O_SUP010
409;JB00700 JAMES BOND едхмюъ ебпною;0;15582039;
697;JF12345 JACQUES FAREL;33687151;0;
1073;JL11115 JUDITH LEIBER ESTERK;36594517;0;
408;JL22222 JACQUES LEMANS;0;15098136;O_SUP221
141;JR12345 JOHN RICHMOND;0;14030217;
700;JSL SPEDITION;36919351;0;
1195;JSL TRADING;28421445;14323944;O_SUP010
1071;JV55555 JFM VICTORINOX;33274118;0;
413;K02000 KONDI-2000 OOO;0;10902948;
705;K10028 KENZO PARFUMS;10907313;0;
710;K12345 KENZO JEW SKY;10907400;0;O_SUP017
149;K127566 нюн йг нрпюдмне;0;15892709;I_SUP084
1176;K20020 WHYTE & MACKAY;10907264;0;
151;K22233 OOO йпсрнм;0;16223484;
152;K28000 KENZO PARF DP;0;15768570;
412;K30013 KIMMI пхьщя;0;15233568;
715;K33355 KORONA OOO;23815605;0;
716;K34567 K KARL LAGERFELD;22573305;0;
718;K50050 KONSTANTINOPOLSKAYA;10907367;0;
1077;K54321 KIEHL'S PBI;26182997;0;
411;K55543 K & K;0;16222221;
155;K555544 KEEL TOYS;0;15481433;
720;K55555 KIPLING EUROPE DIVISION;10907401;0;O_SUP332
1076;K56999 KASKAD LOGISTIC;26205725;0;
1242;KAGANSKI & CO GMBH;45126192;;
1079;KF33315 KORLOFF INTERLUX 2;45125272;16223620;
1078;KI12345 KINSKI ESTERK;37509375;0;
724;KL12345 KEEL TOYS;32311264;0;
472;KM100000 ледеъ;0;15601787;
160;KM12389 KEIKO MICHERY (кюйьепх);45125409;16223662;
162;KO15151 йнмхй ннн;0;14080114;
725;KO22215 KONIC OOO;26194156;0;
726;KZ139 KENZO JEW;10907211;0;O_SUP017
727;KZ6666 KENZO FASHION;11039705;0;
1036;L00001 DONNA KARAN E.LAUDER;10907316;0;
1159;L00007 TOM FORD BEAUTY E.LAUDER;20257031;0;
417;L0001 LANCOME DP SKY;0;11852186;
736;L10001 LLADRO;10907317;0;
166;L10006 LONGCHAMP;10907509;16222232;
1020;L10013 CHLOE COTY;10907406;16223587;
1082;L10014 LANCASTER COTY;25616944;0;
169;L10019 MARC JACOBS COTY;19259440;16223588;
1116;L10020 OPI COTY;38035218;0;
740;L10030 LA SETA MANTERO;10907511;0;O_SUP423
171;L11110 LUXOTTICA EURO UK (FORM B&L);0;10902957;
744;L11119 LF CONSALTING LTD;10920039;0;
173;L12222 LINDT;10907318;15828970;
1091;L13579 LUDING OOO;34495127;15840663;I_SUP243
176;L15808 LANCEL;10907409;16140707;
747;L16872 ESTEE LAUDER PARFUME;10907266;0;O_SUP113
1088;L17000 LIFETRONS;45121260;15975634;
750;L33312 LEXIIM OOO;32095286;0;
751;L33356 LADOGA;37950582;0;O_SUP237
752;L40433 LONGINES;10907217;0;O_SUP222
