supplier_id;name;swsdfid;swsdpid
587;D00235 DEBRISE DULAC;26043240;0
588;D10003 DAVIDOFF INTERNATIONAL;10907250;0
595;D10059 UNOAERRE;10907191;0
597;D11153 MAGERIT DARROW EURO;10907452;0
599;D12321 DUBEY & SCHALDENBRAND;10907252;0
603;D34567 DOLCE & GABBANA;10907355;0
624;E88898 ECTACO;10907198;0
636;F33311 FREY WILLE;10907558;0
637;F33312 M.FREY WILLE FASHION;11104974;0
640;F88999 FURLA;11012386;0
641;FER123 FERRERO TRADING LUX;25873704;0
643;G10002 GIVENCHY COUTURE EURO;10907502;0
645;G10016 GUESS - IBB B.V.;10907503;0
646;G10036 GODIVA S.A. BELGIUM;10907559;0
647;G10037 GUYLIAN NV/SA;10907258;0
651;G11111+ GALEREYA BLAGOLEPIYA;15106113;0
658;G73611 W.GRANT & SONS;10907202;0
660;G93125 GUERLAIN SKY;10907396;0
661;G98765 GOURJI ITALY(EURO);35051453;0
662;GG12345 GOLDEN GRAIL LTD;10907203;0
668;H10023 HENNESSY COGNAC;10907204;0
672;H10053 HERMES PARFUMS;10907206;0
678;H45812 HAMMER+SOHNE;10907564;0
681;I10011 IBB;10907364;0
685;I11112 ISA SPA;10907506;0
692;J33456 JSL SPEDITION GMBH;10923361;0
694;J78321 JAPAN TOBACCO INT CO;10907565;0
696;J99998 MONDELEZ WORLD TRAVEL RETAIL LLC;10907312;0
697;JF12345 JACQUES FAREL;33687151;0
700;JSL SPEDITION;36919351;0
705;K10028 KENZO PARFUMS;10907313;0
710;K12345 KENZO JEW SKY;10907400;0
715;K33355 KORONA OOO;23815605;0
716;K34567 K KARL LAGERFELD;22573305;0
718;K50050 KONSTANTINOPOLSKAYA;10907367;0
720;K55555 KIPLING EUROPE DIVISION;10907401;0
724;KL12345 KEEL TOYS;32311264;0
725;KO22215 KONIC OOO;26194156;0
726;KZ139 KENZO JEW;10907211;0
727;KZ6666 KENZO FASHION;11039705;0
736;L10001 LLADRO;10907317;0
740;L10030 LA SETA MANTERO;10907511;0
744;L11119 LF CONSALTING LTD;10920039;0
747;L16872 ESTEE LAUDER PARFUME;10907266;0
750;L33312 LEXIIM OOO;32095286;0
751;L33356 LADOGA;37950582;0
752;L40433 LONGINES;10907217;0
753;L55545 LUXOTTICA EURO;10907320;0
757;L99989 LEGO OVERSEAS A/S;10907513;0
758;LA55516 LAMY-ALD INT;24329398;0
760;LG3333+ LINIYA-GRAFIK ZAO;20251636;0
764;LW20005 LOEWE PERFUMES;29202341;0
766;M00056 PRICILLA CHAN;10924083;0
767;M10010 MOBILE ENERGY;10940038;0
769;M10045 MEUKOW FELINE COGNAC;10907321;0
