"LOC_ID";"QTY";"RETAIL";"COSTB";"RETAIL_AMOUNT";"COST_AMOUNT_B";"COST_AMOUNT_ALT";"COST_AMOUNT_ALT1";"GOOD_ID";"DATE_ID";"SUPPLY_NAME";"SUPPLY_DATE";"SUPPLY_QTY";"SUPCOST_AMOUNT_B";"SUPCOST_AMOUNT_ALT"
11263292;29.0;200.0;44.05;5800.0;1612.02;40.25;52.66;1677027;01.01.2013 0:00:00;"21260";14.12.2012 0:00:00;30.0;0.0;0.0
11263292;30.0;200.0;44.05;6000.0;1667.61;41.34;54.72;1677027;01.01.2013 0:00:00;"21470";28.12.2012 0:00:00;30.0;0.0;0.0
11263292;40.0;300.0;54.31;12000.0;5064.76;125.88;166.76;1677028;01.01.2013 0:00:00;"21479";30.12.2012 0:00:00;40.0;0.0;0.0
11263292;40.0;300.0;54.31;12000.0;4990.4;124.04;164.32;1677028;01.01.2013 0:00:00;"21479";30.12.2012 0:00:00;40.0;0.0;0.0
11263292;80.0;300.0;54.31;24000.0;6820.48;167.92;221.44;1677028;01.01.2013 0:00:00;"21413";25.12.2012 0:00:00;80.0;0.0;0.0
11263292;60.0;300.0;54.31;18000.0;7560.24;186.12;245.4;1677028;01.01.2013 0:00:00;"21413";25.12.2012 0:00:00;60.0;0.0;0.0
11263292;19.0;300.0;54.31;5700.0;2855.7;70.98;94.03;1677028;01.01.2013 0:00:00;"21479";30.12.2012 0:00:00;30.0;0.0;0.0
11263292;39.0;300.0;54.31;11700.0;4938.14;123.05;158.61;1677028;01.01.2013 0:00:00;"21042";25.11.2012 0:00:00;39.0;0.0;0.0
11263292;19.0;300.0;54.31;5700.0;1619.86;40.32;52.54;1677028;01.01.2013 0:00:00;"21133";04.12.2012 0:00:00;60.0;0.0;0.0
11263292;27.0;300.0;54.31;8100.0;4595.86;113.89;148.69;1677028;01.01.2013 0:00:00;"21157";07.12.2012 0:00:00;27.0;0.0;0.0
11263292;60.0;300.0;54.31;18000.0;7560.24;189.78;244.92;1677028;01.01.2013 0:00:00;"21210";11.12.2012 0:00:00;60.0;0.0;0.0
11263292;28.0;300.0;54.31;8400.0;2474.28;61.77;80.84;1677028;01.01.2013 0:00:00;"21260";14.12.2012 0:00:00;28.0;0.0;0.0
11263292;60.0;300.0;54.31;18000.0;5115.42;127.68;167.16;1677028;01.01.2013 0:00:00;"21260";14.12.2012 0:00:00;60.0;0.0;0.0
11263292;20.0;300.0;54.31;6000.0;1210.78;30.22;39.56;1677028;01.01.2013 0:00:00;"21260";14.12.2012 0:00:00;20.0;0.0;0.0
11263292;20.0;300.0;54.31;6000.0;1040.36;25.98;34.0;1677028;01.01.2013 0:00:00;"21260";14.12.2012 0:00:00;20.0;0.0;0.0
11263292;40.0;300.0;54.31;12000.0;5040.16;125.8;164.68;1677028;01.01.2013 0:00:00;"21260";14.12.2012 0:00:00;40.0;0.0;0.0
11263292;28.0;300.0;54.31;8400.0;4766.08;118.97;155.74;1677028;01.01.2013 0:00:00;"21263";14.12.2012 0:00:00;28.0;0.0;0.0
11263292;8.0;300.0;54.31;2400.0;1008.03;24.9;31.78;1677028;01.01.2013 0:00:00;"20971";18.11.2012 0:00:00;60.0;0.0;0.0
11263292;11.0;300.0;54.31;3300.0;1930.31;47.75;60.95;1677028;01.01.2013 0:00:00;"20983";20.11.2012 0:00:00;42.0;0.0;0.0
11263292;60.0;300.0;54.31;18000.0;5115.36;126.54;161.52;1677028;01.01.2013 0:00:00;"20983";20.11.2012 0:00:00;60.0;0.0;0.0
11263292;26.0;200.0;60.3;5200.0;1925.53;47.71;63.18;1677029;01.01.2013 0:00:00;"21470";28.12.2012 0:00:00;42.0;0.0;0.0
11263292;1.0;200.0;60.3;200.0;72.5;1.81;2.35;1677029;01.01.2013 0:00:00;"21133";04.12.2012 0:00:00;240.0;0.0;0.0
11263292;1.0;200.0;60.3;200.0;72.03;1.79;2.36;1677029;01.01.2013 0:00:00;"21470";28.12.2012 0:00:00;1.0;0.0;0.0
11263292;240.0;200.0;60.3;48000.0;17229.12;428.4;567.36;1677029;01.01.2013 0:00:00;"21479";30.12.2012 0:00:00;240.0;0.0;0.0
11263292;2.0;200.0;60.3;400.0;148.12;3.65;4.81;1677029;01.01.2013 0:00:00;"21413";25.12.2012 0:00:00;42.0;0.0;0.0
11263292;64.0;200.0;60.3;12800.0;4594.3;113.54;149.31;1677029;01.01.2013 0:00:00;"21303";18.12.2012 0:00:00;240.0;0.0;0.0
11263292;239.0;200.0;60.3;47800.0;17156.85;425.18;562.85;1677029;01.01.2013 0:00:00;"21470";28.12.2012 0:00:00;239.0;0.0;0.0
11263292;1.0;90.0;9.91;90.0;11.34;0.28;0.37;1677032;01.01.2013 0:00:00;"21345";21.12.2012 0:00:00;1.0;0.0;0.0
11263292;3.0;90.0;9.91;270.0;32.61;0.82;1.06;1677032;01.01.2013 0:00:00;"21210";11.12.2012 0:00:00;460.0;0.0;0.0
11263292;584.0;90.0;9.91;52560.0;6466.05;160.6;213.16;1677032;01.01.2013 0:00:00;"21479";30.12.2012 0:00:00;690.0;0.0;0.0
11263292;86.0;135.0;0.0;11610.0;1622.73;39.99;52.8;1677107;01.01.2013 0:00:00;"21398";24.12.2012 0:00:00;220.0;0.0;0.0
11263292;300.0;135.0;0.0;40500.0;5721.6;142.2;188.4;1677107;01.01.2013 0:00:00;"21483";30.12.2012 0:00:00;300.0;0.0;0.0
11263292;225.0;165.0;0.0;37125.0;4291.2;106.65;141.3;1677158;01.01.2013 0:00:00;"21483";30.12.2012 0:00:00;250.0;0.0;0.0
11263292;22.0;340.0;0.0;7480.0;1822.88;44.95;59.33;1677159;01.01.2013 0:00:00;"21398";24.12.2012 0:00:00;119.0;0.0;0.0
11263292;120.0;340.0;0.0;40800.0;9942.96;247.2;327.36;1677159;01.01.2013 0:00:00;"21478";30.12.2012 0:00:00;120.0;0.0;0.0
11263292;3.0;340.0;0.0;1020.0;202.4;4.99;6.59;1677160;01.01.2013 0:00:00;"21398";24.12.2012 0:00:00;15.0;0.0;0.0
11263292;15.0;340.0;0.0;5100.0;1015.08;25.23;33.42;1677160;01.01.2013 0:00:00;"21478";30.12.2012 0:00:00;15.0;0.0;0.0
15511191;1.0;200.0;157.68;200.0;157.68;4.06;5.35;1677164;01.01.2013 0:00:00;"18774";24.04.2012 0:00:00;2.0;0.0;0.0
15511191;2.0;200.0;157.68;400.0;315.36;7.7;9.99;1677164;01.01.2013 0:00:00;"20291";21.09.2012 0:00:00;2.0;0.0;0.0
11263292;20.0;50.0;7.6;1000.0;152.0;3.76;4.92;1677167;01.01.2013 0:00:00;"21158";07.12.2012 0:00:00;20.0;0.0;0.0
11263292;60.0;50.0;7.6;3000.0;510.0;12.6;16.62;1677167;01.01.2013 0:00:00;"21387";23.12.2012 0:00:00;60.0;0.0;0.0
11263292;60.0;50.0;7.6;3000.0;510.0;12.72;16.68;1677167;01.01.2013 0:00:00;"21260";14.12.2012 0:00:00;60.0;0.0;0.0
11263292;60.0;50.0;7.6;3000.0;510.0;12.66;16.8;1677167;01.01.2013 0:00:00;"21482";30.12.2012 0:00:00;60.0;0.0;0.0
11263292;40.0;50.0;7.6;2000.0;340.0;8.4;11.04;1677167;01.01.2013 0:00:00;"21303";18.12.2012 0:00:00;40.0;0.0;0.0
11263292;35.0;50.0;7.6;1750.0;297.5;7.42;9.66;1677167;01.01.2013 0:00:00;"21129";04.12.2012 0:00:00;160.0;0.0;0.0
11263292;60.0;50.0;7.6;3000.0;510.0;12.66;16.8;1677167;01.01.2013 0:00:00;"21479";30.12.2012 0:00:00;60.0;0.0;0.0
11263292;20.0;50.0;7.6;1000.0;152.0;3.74;4.82;1677167;01.01.2013 0:00:00;"20758";28.10.2012 0:00:00;20.0;0.0;0.0
11263292;138.0;120.0;0.0;16560.0;2277.0;56.58;74.93;1677169;01.01.2013 0:00:00;"21483";30.12.2012 0:00:00;160.0;0.0;0.0
