Division_Code;PLU;Barcode;Blocked
01;870716;2100008707166;0
01;870771;2100008707715;0
01;870776;2100008707760;0
01;870778;2100008707784;0
01;870779;2100008707791;0
01;870787;2100008707876;0
01;870796;2100008707968;0
01;870797;2100008707975;0
01;870805;2100008708057;0
01;870813;2100008708132;0
01;870819;2100008708194;0
01;870825;2100008708255;0
01;870835;2100008708354;0
01;870840;2100008708408;0
01;870842;2100008708422;0
01;870844;2100008708446;0
01;870845;2100008708453;0
01;870849;2100008708491;0
01;870851;2100008708514;0
01;870854;2100008708545;0
01;870855;2100008708552;0
01;870856;2100008708569;0
01;870857;2100008708576;0
01;870858;2100008708583;0
01;870865;2100008708651;0
01;870867;2100008708675;0
01;870867;2100008704073;0
01;870957;2100008709573;0
01;870958;2100008709580;0
01;870959;2100008709597;0
01;870961;2100008709610;0
01;870962;2100008709627;0
01;870963;2100008709634;0
01;870979;2100008709795;0
01;870981;2100008709818;0
01;870989;2100008709894;0
01;870991;2100008709917;0
01;870992;2100008709924;0
01;870993;2100008709931;0
01;870998;2100008709986;0
01;871012;2100008710128;0
01;871026;2100008710265;0
01;871043;2100008710432;0
01;871044;2100008710449;0
01;871082;2100008710821;0
01;871083;2100008710838;0
01;871158;2100008711583;0
01;871175;2100008711750;0
01;871176;2100008711767;0
01;871202;2100008712023;0
01;871203;2100008712030;0
01;871216;2100008712160;0
01;871217;2100008712177;0
01;871218;2100008712184;0
01;871285;2100008712856;0
01;871310;2100008713105;0
01;871340;2100008713402;0
01;871403;2100008714034;0
01;871437;2100008714379;0
01;871453;2100008714539;0
01;871510;2100008715109;0
01;871570;2100008715703;0
01;871678;2100008716786;0
01;871698;2100008716984;0
01;871703;2100008717035;0
01;871842;2100008718421;0
01;871941;2100008719411;0
01;871949;2100008719497;0
01;871952;2100008719527;0
01;871973;2100008719732;0
01;872004;2100008720042;0
01;872034;2100008720349;0
01;872071;2100008720714;0
01;872073;2100008720738;0
01;872181;2100008721810;0
01;872182;2100008721827;0
01;872183;2100008721834;0
01;884060;2100008840603;0
01;887981;2100008879818;0
01;888016;2100008880166;0
01;888195;2100008881958;0
01;888196;2100008881965;0
01;888199;2100008881996;0
01;888200;2100008882009;0
01;888347;2100008883471;0
01;888398;2100008883983;0
01;888405;2100008884058;0
01;888407;2100008884072;0
01;888662;2100008886625;0
01;888663;2100008886632;0
01;889734;2100008897348;0
01;889736;2100008897362;0
01;889774;2100008897744;0
01;889775;2100008897751;0
01;889776;2100008897768;0
01;889777;2100008897775;0
01;889780;2100008897805;0
01;889781;2100008897812;0
01;889783;2100008897836;0
01;889800;2100008898000;0
01;889804;2100008898048;0
01;889805;2100008898055;0
01;889817;2100008898178;0
01;889818;2100008898185;0
01;889819;2100008898192;0
01;889820;2100008898208;0
01;889826;2100008898260;0
01;889847;2100008898475;0
01;889869;2100008898697;0
01;889878;2100008898789;0
01;889886;2100008898864;0
01;889887;2100008898871;0
01;889888;2100008898888;0
01;889889;2100008898895;0
01;889890;2100008898901;0
01;889891;2100008898918;0
01;889892;2100008898925;0
01;889893;2100008898932;0
01;889898;2100008898987;0
01;889905;2100008899052;0
01;889909;2100008899090;0
01;889910;2100008899106;0
01;889910;2100008708668;0
01;889911;2100008899113;0
01;890301;2100008903018;0
01;890302;2100008903025;0
01;890303;2100008903032;0
01;890304;2100008903049;0
01;890306;2100008903063;0
01;890343;2100008903438;0
01;890344;2100008903445;0
01;890345;2100008903452;0
01;890346;2000008903462;0
01;890347;2100008903476;0
01;890348;2100008903483;0
01;890349;2100008903490;0
01;890353;2100008903537;0
01;890355;2100008903551;0
01;890356;2100008903568;0
01;890357;2100008903575;0
01;890358;2100008903582;0
01;891230;2100008912300;0
01;891261;2100008912614;0
01;891385;2100008913857;0
01;891393;2100008913932;0
01;891626;2100008916261;0
02;005001;2100000050017;0
02;005035;2100000050352;0
02;005056;2000000050560;0
02;029796;2000000297965;0
02;140518;2000001405185;0
02;142292;2000001422922;0
02;171673;2100001716738;0
02;171678;2100001716783;0
02;171682;2100001716820;0
02;200918;2100002009181;0
02;200924;2000002009245;0
02;209422;2000002094227;0
02;210357;2100002103575;0
02;228013;2100002280139;0
02;235521;2100002355219;0
02;235526;2100002355264;0
02;235537;2100002355370;0
02;236434;2000002364344;0
02;236435;2000002364351;0
02;242258;2100002422584;0
02;252780;2100002527807;0
02;264211;2594853001331;0
02;264212;25948530001359;0
02;267578;2000002675785;0
02;267579;2100002675799;0
02;287149;21000023752550;0
02;287150;2100002871504;0
02;287151;2100002871511;0
02;290338;2000002903383;0
02;290356;2000002903567;0
02;290361;2000002903611;0
02;290362;2000002903628;0
02;316340;2100003163400;0
02;316341;2100003163417;0
02;317619;2000002009108;0
02;362228;2000003622283;0
02;364414;2100002355325;0
02;718786;2100008777817;0
02;718787;2100008777800;0
02;723131;2000007231313;0
02;723200;2000007232006;0
02;731010;2000007310100;0
02;731011;2000007310117;0
02;731037;2000007310377;0
02;736882;2000007368828;0
02;877631;2100008776315;0
02;877632;2100008776322;0
02;877637;2100008776377;0
02;877638;2100008776384;0
02;877639;2100008776391;0
02;877640;2100008776407;0
02;877641;2100008776414;0
02;877642;2100008776421;0
02;877644;2100008776445;0
02;877645;2100008776452;0
02;877646;2100008776469;0
02;877647;2100008776476;0
02;877648;2100008776483;0
02;877658;2100008776582;0
02;877670;2100008776704;0
02;877693;2100008776933;0
02;877695;2100008776957;0
02;877696;2100008776964;0
02;877697;2100008776971;0
02;877698;2100008776988;0
02;877701;2100008777015;0
02;877703;2100008777039;0
02;877709;2100008777091;0
02;877710;2100008777107;0
02;877711;2100008777114;0
02;877712;2100008777121;0
02;877718;2100008777183;0
02;877719;2100008777190;0
02;877720;2100008777206;0
02;877721;2100008777213;0
02;877722;2100008777220;0
02;877726;2100008777268;0
02;877727;2100008777275;0
02;877729;2100008777299;0
02;877730;2100008777305;0
02;877731;2100008777312;0
02;877734;2100008777343;0
02;877735;2100008777350;0
02;877736;2100008777367;0
02;877738;2100008777381;0
02;877739;2100008777398;0
02;877743;2100008777435;0
02;877744;2100008777442;0
02;877745;2100008777459;0
02;877746;2100008777466;0
02;877747;2100008777473;0
02;877748;2100008777480;0
02;877749;2100008777497;0
02;877750;2100008777503;0
02;877752;2100008777527;0
02;877753;2100008777534;0
02;877757;2100008777572;0
02;877762;2100008777626;0
02;877763;2100008777633;0
02;877766;2100008777664;0
02;877768;2100008777688;0
02;877770;2100008777701;0
02;877772;2100008777725;0
02;877774;2100008777749;0
02;877775;2100008777756;0
02;877776;2100008777763;0
02;877777;2100008777770;0
02;877778;2100008777787;0
02;877786;2100008777862;0
02;877788;2100008777886;0
02;877790;2100008777909;0
02;877792;2100008777923;0
02;877793;2100008777930;0
02;877794;2100008777947;0
02;877795;2100008777954;0
02;877797;2100008777978;0
02;877798;2100008777985;0
02;877799;2100008777992;0
02;877801;2100008778012;0
02;877802;2100008778029;0
02;877804;2100008778043;0
02;877805;2100008778050;0
02;877809;2100008778098;0
02;877810;2100008778104;0
02;877811;2100008778111;0
02;877813;2100008778135;0
02;877816;2100008778166;0
02;877817;2100008778173;0
02;877820;2100008778203;0
02;877825;2100008778258;0
02;877829;2100008778296;0
02;877832;2100008778326;0
02;877833;2100008778333;0
02;877835;2100008778357;0
02;877838;2100008778388;0
02;877839;2100008778395;0
02;877840;2100008778401;0
02;877841;2100008778418;0
02;877842;2100008778425;0
02;877852;2100008778524;0
02;877857;2100008778579;0
02;877858;2100008778586;0
02;877862;2100008778623;0
02;877864;2100008778647;0
02;877866;2100008778661;0
02;877870;2100008778708;0
02;877871;2100008778715;0
02;877872;2100008778722;0
02;877890;2100008778906;0
02;877893;2100008778937;0
02;877900;2100008779002;0
02;877903;2100008779033;0
02;877930;2100008779309;0
02;877931;2100008779316;0
02;877950;2100008779507;0
02;877951;2100008779514;0
02;877952;2100008779521;0
02;877953;2100008779538;0
02;877954;2100008779545;0
02;877955;2100008779552;0
02;877957;2100008779576;0
02;877958;2100008779583;0
02;877959;2100008779590;0
02;877960;2100008779606;0
02;877962;2100008779620;0
02;877963;2100008779637;0
02;877964;2100008779644;0
02;877965;2100008779651;0
02;877966;2100008779668;0
02;878139;2100008781395;0
02;878207;2100008782071;0
