PLU;Alco_Grp_Code;Start_Date
500168;400;1753-01-01 00:00:00
500169;280;1753-01-01 00:00:00
500170;280;1753-01-01 00:00:00
500171;280;1753-01-01 00:00:00
500172;280;1753-01-01 00:00:00
500173;280;1753-01-01 00:00:00
500174;460;1753-01-01 00:00:00
500175;460;1753-01-01 00:00:00
500176;460;1753-01-01 00:00:00
500177;460;1753-01-01 00:00:00
500178;440;1753-01-01 00:00:00
500179;200;1753-01-01 00:00:00
500180;200;1753-01-01 00:00:00
500181;200;1753-01-01 00:00:00
500183;280;1753-01-01 00:00:00
500184;200;1753-01-01 00:00:00
500185;460;1753-01-01 00:00:00
500186;212;1753-01-01 00:00:00
500187;230;1753-01-01 00:00:00
500188;230;1753-01-01 00:00:00
500189;230;1753-01-01 00:00:00
500190;230;1753-01-01 00:00:00
500191;280;1753-01-01 00:00:00
500192;280;1753-01-01 00:00:00
500193;280;1753-01-01 00:00:00
500194;280;1753-01-01 00:00:00
500195;211;1753-01-01 00:00:00
500196;280;1753-01-01 00:00:00
500197;280;1753-01-01 00:00:00
500198;280;1753-01-01 00:00:00
500199;500;1753-01-01 00:00:00
500200;500;1753-01-01 00:00:00
500203;280;1753-01-01 00:00:00
500204;280;1753-01-01 00:00:00
500205;230;1753-01-01 00:00:00
500206;200;1753-01-01 00:00:00
500207;200;1753-01-01 00:00:00
500208;200;1753-01-01 00:00:00
500209;400;1753-01-01 00:00:00
500210;400;1753-01-01 00:00:00
500247;200;1753-01-01 00:00:00
500248;230;1753-01-01 00:00:00
500258;280;1753-01-01 00:00:00
500269;460;1753-01-01 00:00:00
