No_;Item No_;Unit of Measure Code;Descript;Descript2;Quantity per UoM;No_ Series;Item Department Code;Item Group Code;Item Tree Group No_;Gross Sales Amount
D00773;500134;SGL;Арахис Dorati 200гр;;1.00000000000000000000;DISH;97;9704;9704008;0.00000000000000000000
D00774;500139;SGL;Арахис с медом 0,135кг;;1.00000000000000000000;DISH;97;9704;9704008;0.00000000000000000000
D00775;500138;SGL;Лейс с солью 90гр;;1.00000000000000000000;DISH;97;9704;9704008;0.00000000000000000000
D00776;500131;SGL;Фисташки 55гр;;1.00000000000000000000;DISH;97;9704;9704008;0.00000000000000000000
D00777;500162;SGL;Хлеб;;1.00000000000000000000;DISH;97;9704;9704009;0.00000000000000000000
D00778;500147;ПОРЦИЯ;Мороженое "Ваниль";;0.06000000000000000000;DISH;97;9704;9704011;0.00000000000000000000
D00779;500148;ПОРЦИЯ;Мороженое "Клубника";;0.06000000000000000000;DISH;97;9704;9704011;0.00000000000000000000
D00780;500149;ПОРЦИЯ;Мороженое "Фисташковое";;0.06000000000000000000;DISH;97;9704;9704011;0.00000000000000000000
D00781;500150;ПОРЦИЯ;Мороженое "Шоколад";;0.06000000000000000000;DISH;97;9704;9704011;0.00000000000000000000
D00782;500158;SGL;Шоколадный батончик;;1.00000000000000000000;DISH;97;9704;9704013;0.00000000000000000000
D00783;500163;SGL;Шоколад 5гр.;;1.00000000000000000000;DISH;97;9704;9704013;0.00000000000000000000
D00784;500106;SGL;Сэндвич с ветчиной;;1.00000000000000000000;DISH;97;9704;9704005;0.00000000000000000000
D00785;500107;SGL;Сэндвич с говядиной в/к;;1.00000000000000000000;DISH;97;9704;9704005;0.00000000000000000000
D00786;500108;SGL;Сэндвич с колбасой в/к;;1.00000000000000000000;DISH;97;9704;9704005;0.00000000000000000000
D00787;500109;SGL;Сэндвич с курицей;;1.00000000000000000000;DISH;97;9704;9704005;0.00000000000000000000
D00788;500110;SGL;Сэндвич с ветчиной и сыром;;1.00000000000000000000;DISH;97;9704;9704005;0.00000000000000000000
D00789;500111;SGL;Сэндвич с ростбифом;;1.00000000000000000000;DISH;97;9704;9704005;0.00000000000000000000
D00790;500112;SGL;Сэндвич с семгой;;1.00000000000000000000;DISH;97;9704;9704005;0.00000000000000000000
D00791;500113;SGL;Сэндвич с овощами гриль;;1.00000000000000000000;DISH;97;9704;9704005;0.00000000000000000000
D00792;500092;SGL;Стейк из семги;;1.00000000000000000000;DISH;97;9704;9704001;0.00000000000000000000
D00793;500093;SGL;Крылья куриные;;1.00000000000000000000;DISH;97;9704;9704001;0.00000000000000000000
D00794;500094;SGL;Куриное рагу;;1.00000000000000000000;DISH;97;9704;9704001;0.00000000000000000000
D00795;500095;SGL;Ирландское рагу;;1.00000000000000000000;DISH;97;9704;9704001;0.00000000000000000000
D00796;500096;SGL;Шашлык из свинины;;1.00000000000000000000;DISH;97;9704;9704001;0.00000000000000000000
D00797;500097;SGL;Картофель запеченый;;1.00000000000000000000;DISH;97;9704;9704002;0.00000000000000000000
D00798;500098;SGL;Картофель гратен;;1.00000000000000000000;DISH;97;9704;9704002;0.00000000000000000000
D00799;500099;SGL;Овощной рататуй;;1.00000000000000000000;DISH;97;9704;9704002;0.00000000000000000000
D00800;500100;SGL;Блинчики 3шт;;1.00000000000000000000;DISH;97;9704;9704003;0.00000000000000000000
D00801;500101;SGL;Блинчики с семгой;;1.00000000000000000000;DISH;97;9704;9704003;0.00000000000000000000
D00802;500102;SGL;Салат овощной;;1.00000000000000000000;DISH;97;9704;9704004;0.00000000000000000000
D00803;500103;SGL;Салат Цезарь;;1.00000000000000000000;DISH;97;9704;9704004;0.00000000000000000000
D00804;500104;SGL;Салат столичный;;1.00000000000000000000;DISH;97;9704;9704004;0.00000000000000000000
D00805;500105;SGL;Салат греческий;;1.00000000000000000000;DISH;97;9704;9704004;0.00000000000000000000
D00806;500114;SGL;Торт Яблочный;;1.00000000000000000000;DISH;97;9704;9704006;0.00000000000000000000
D00807;500115;SGL;Торт Лесная ягода;;1.00000000000000000000;DISH;97;9704;9704006;0.00000000000000000000
D00808;500116;SGL;Торт Клубничный;;1.00000000000000000000;DISH;97;9704;9704006;0.00000000000000000000
D00809;500117;SGL;Круассан;;1.00000000000000000000;DISH;97;9704;9704006;0.00000000000000000000
D00810;500151;SGL;Борщ;;1.00000000000000000000;DISH;97;9704;9704012;0.00000000000000000000
D00811;500152;SGL;Суп пюре из грибов;;1.00000000000000000000;DISH;97;9704;9704012;0.00000000000000000000
D00812;500153;SGL;Суп пюре из брокколи;;1.00000000000000000000;DISH;97;9704;9704012;0.00000000000000000000
D00813;500154;SGL;Солянка мясная;;1.00000000000000000000;DISH;97;9704;9704012;0.00000000000000000000
D00814;500065;ПОРЦИЯ;Чай горные Травы;;1.00000000000000000000;DISH;97;9703;9703001;0.00000000000000000000
D00815;500066;ПОРЦИЯ;Чай фруктовый;;1.00000000000000000000;DISH;97;9703;9703001;0.00000000000000000000
D00816;500063;ПОРЦИЯ;Чай Ассам;;1.00000000000000000000;DISH;97;9703;9703001;0.00000000000000000000
