Code	NAME	match	measure value	GLOSSARY_ID_DF	SWS_DF
B01020            	HELENA RUBINSTEIN        	HELENA RUBINSTEIN	1	45122288	HELENA RUBINSTEIN        
HELLO KITTY       	Hello Kitty              	HELLO KITTY	1	45122723	HELLO KITTY              
HENDRICKS         	Hendricks                	HENDRICK'S	0,8	45122415	HENDRICK'S               
B01021            	HENDRICK'S               	HENDRICK'S	1	45122415	HENDRICK'S               
HENNESSY          	Hennessy                 	HENNESSY	1	45122222	HENNESSY                 
HERMANN TEDDY     	Hermann Teddy            	MANTERO	0,5	45122499	MANTERO                  
HERMES            	Hermes                   	HERMES	1	45122221	HERMES                   
HERPA             	Herpa                    	HERMES	0,4	45122221	HERMES                   
HERRADURA         	HERRADURA                	HERRADURA	1	45122853	HERRADURA                
B01022            	HERRADURA                	HERRADURA	1	45122853	HERRADURA                
HIGHLAND PARK     	Highland Park            	HIGHLAND PARK	1	45122417	HIGHLAND PARK            
HILFIGER          	HILFIGER                 	HILFIGER	1	45124069	HILFIGER                 
B01023            	HINE                     	HINE	1	45122220	HINE                     
HIP HOP           	Hip Hop                  	CHOPARD	0,4	45122545	CHOPARD                  
HISTOIRES DE PARFU	Histoires de Parfum      	HISTOIRES DE PARFUM	1	45122458	HISTOIRES DE PARFUM      
HOHLOMA           	HOHLOMA                  	HOHLOMA	1	45123468	HOHLOMA                  
HOLUY             	Holuy                    	HOLUY	1	45123647	HOLUY                    
HD                	Hot Diamonds             	Kondi	0,5		Kondi                    
HDM               	Hot Diamonds men         	JAMES BOND	0,4	45122494	JAMES BOND               
HOUBIGANT         	HOUBIGANT                	HOUBIGANT	1	45122479	HOUBIGANT                
HOYO              	Hoyo                     	HOYO	1	45122237	HOYO                     
B01025            	HUBBA BUBBA              	HUBBA BUBBA	1	45122848	HUBBA BUBBA              
HUBLOT            	Hublot                   	POLIGLOT	0,3	45123727	POLIGLOT                 
HUGO BOSS         	HUGO BOSS                	BOSS_HUGO	0,9	45124918	BOSS_HUGO                
IAIN SINCLAIR     	Iain Sinclair            	IAIN SINCLAIR	1	45122493	IAIN SINCLAIR            
IAN AND VALERY CO 	Ian and Valery Co        	ALEXANDRE J	0,4	45123571	ALEXANDRE J              
B01404            	ICE ICEBERG              	ICE ICEBERG	1	45122525	ICE ICEBERG              
ICE_TEA           	Ice Tea                  	POLICE	0,4	45122426	POLICE                   
B01026            	ICE WATCH                	ICE WATCH	1	45124884	ICE WATCH                
ICEBERG           	Iceberg                  	ICEBERG	1	45122699	ICEBERG                  
IDEAL             	Ideal                    	IDEAL	1	45123618	IDEAL                    
INNERGIE          	Innergie                 	INNERGIE	1	45123394	INNERGIE                 
INSIDE OUT        	INSIDE OUT               	INSIDE OUT	1	45125735	INSIDE OUT               
B01027            	INVERNI                  	INVERNI	1	45122502	INVERNI                  
B01406            	INVERNI SRL              	INVERNI	0,9	45122502	INVERNI                  
B01029            	IRISH CREATIVE           	IRISH MIST	0,4	45124043	IRISH MIST               
B01030            	IRISH DRESDEN            	IRISH MIST	0,5	45124043	IRISH MIST               
IRISH MIST        	Irish Mist               	IRISH MIST	1	45124043	IRISH MIST               
B01031            	ISE WATCH                	TOY WATCH	0,7	45126266	TOY WATCH                
ISLE_JURA         	Isle Jura                	ISLE JURA	1	45122304	ISLE JURA                
ISSEYMIY          	ISSEYMIYAKE              	ISSEYMIY	0,8	45124327	ISSEYMIY                 
IWC               	IWC                      	MIWORLD	0,2	45124323	MIWORLD                  
J_B               	J&B                      	J&B	1	45122163	J&B                      
B01032            	J.F.FERRE                	GF FERRE	0,6	45122501	GF FERRE                 
B01411            	J.GALLIANO               	GALLIANO	0,9	45122814	GALLIANO                 
B01033            	J.P.CHENET               	J.P.CHENET	1	45122278	J.P.CHENET               
J_DANIELS         	Jack Daniels             	J_DANIELS	0,7	45122217	J_DANIELS                
B01434            	JACOB & CO               	MARC JACOBS	0,6	45125246	MARC JACOBS              
JACOB & CO        	Jacob & Co               	MARC JACOBS	0,6	45125246	MARC JACOBS              
JACOB'S CREEK     	Jacob's Creek            	JACOB'S CREEK	1	45122305	JACOB'S CREEK            
B01471            	Jacque Lemans            	Jacque Lemans	1	45124878	Jacque Lemans            
B01035            	JACQUES FAREL            	JACQUES FAREL	1	45122850	JACQUES FAREL            
JLC               	JAEGER LE COULTER        	JAGERMEISTER	0,4	45122550	JAGERMEISTER             
B01037            	JAKKS                    	JAKKS PACIFIC	0,6	45122322	JAKKS PACIFIC            
B01438            	Jakks Fairies            	JAKKS PACIFIC	0,4	45122322	JAKKS PACIFIC            
JAKKS PACIFIC     	Jakks Pacific            	JAKKS PACIFIC	1	45122322	JAKKS PACIFIC            
JAMES BOND        	JAMES BOND               	JAMES BOND	1	45122494	JAMES BOND               
JAMESON           	Jameson                  	JAMESON	1	45122161	JAMESON                  
B01038            	JANDER                   	JANDER	1	45122828	JANDER                   
JANEKE            	JANEKE                   	JANEKE	1	45122684	JANEKE                   
B01039            	JANEKE                   	JANEKE	1	45122684	JANEKE                   
JANNEAU           	JANNEAU                  	JANNEAU	1	45125415	JANNEAU                  
JCB               	JCB                      	JCB	1	45125892	JCB                      
B01040            	JEAN PAUL GAULTIER       	JEAN PAUL GAULTIER	1	45122158	JEAN PAUL GAULTIER       
J_RICHARD         	Jean Richard             	RICH	0,5	45123425	RICH                     
JB                	Jelly Belly              	BELLS	0,5	45123166	BELLS                    
B01041            	JESSIE                   	JESSIE	1	45122874	JESSIE                   
J_SANDER          	Jil Sander               	JANDER	0,7	45122828	JANDER                   
J_BEAM            	Jim Beam                 	J_BEAM	0,6	45122186	J_BEAM                   
J_CHOO            	Jimmy Choo               	J_CHOO	0,5	45124589	J_CHOO                   
JLO               	JLO                      	POLO	0,4	45122746	POLO                     
JM                	JM                       	JM	1	45125417	JM                       
B01043            	JOHN RICHMOND            	JOHN RICHMOND	1	45122408	JOHN RICHMOND            
JV                	John Varvatos            	LONG JOHN	0,4	45122172	LONG JOHN                
B01044            	JOHNNIE WALKER           	DALWHINNIE	0,4	45122323	DALWHINNIE               
B01045            	JOHNNIE WALKER           	DALWHINNIE	0,4	45122323	DALWHINNIE               
B01046            	JOICE FURS               	BOURJOIS	0,4		BOURJOIS                 
JOLI              	Joli                     	POLICE	0,5	45122426	POLICE                   
J CUE             	Jose Cuervo              	JOSE CUERVO	1	45122698	JOSE CUERVO              
JOWISSA           	Jowissa                  	SWISS SMILE	0,4	45122491	SWISS SMILE              
JOY TOY           	Joy Toy                  	JOY TOY	1	45122865	JOY TOY                  
