name;swsdfusdid;swsdfid;swsdpid;Vendor No_
K55555 KIPLING EUROPE DIVISION;10907401;10907401;0;O_SUP332
K56999 KASKAD LOGISTIC;26205725;26205725;0;
KAGANSKI & CO GMBH;45126192;45126192;;
KF33315 KORLOFF INTERLUX 2;45125272;45125272;16223620;
KI12345 KINSKI ESTERK;37509375;37509375;0;
KL12345 KEEL TOYS;32311264;32311264;0;
KM100000 ледеъ;0;0;15601787;
KM12389 KEIKO MICHERY (кюйьепх);45125409;45125409;16223662;
KO15151 йнмхй ннн;0;0;14080114;
KO22215 KONIC OOO;26194156;26194156;0;
KZ139 KENZO JEW;10907211;10907211;0;O_SUP017
KZ6666 KENZO FASHION;11039705;11039705;0;
L00001 DONNA KARAN E.LAUDER;10907316;10907316;0;
L00007 TOM FORD BEAUTY E.LAUDER;20257031;20257031;0;
L0001 LANCOME DP SKY;0;0;11852186;
L10001 LLADRO;10907317;10907317;0;
L10006 LONGCHAMP;10907509;10907509;16222232;
L10013 CHLOE COTY;10907406;10907406;16223587;
L10014 LANCASTER COTY;25616944;25616944;0;
L10019 MARC JACOBS COTY;19259440;19259440;16223588;
L10020 OPI COTY;38035218;38035218;0;
L10030 LA SETA MANTERO;10907511;10907511;0;O_SUP423
L11110 LUXOTTICA EURO UK (FORM B&L);0;0;10902957;
L11119 LF CONSALTING LTD;10920039;10920039;0;
L12222 LINDT;10907318;10907318;15828970;
L13579 LUDING OOO;34495127;34495127;15840663;I_SUP243
L15808 LANCEL;10907409;10907409;16140707;
L16872 ESTEE LAUDER PARFUME;10907266;10907266;0;O_SUP113
L17000 LIFETRONS;45121260;45121260;15975634;
L33312 LEXIIM OOO;32095286;32095286;0;
L33356 LADOGA;37950582;37950582;0;O_SUP237
L40433 LONGINES;10907217;10907217;0;O_SUP222
L44115 LAVIANA ART LIMITED;43147037;43147037;0;
L44444_ кта ннн;0;0;15922954;
L44444_OOO кта;0;0;15922954;
L54321 L'OCCITANE;20475049;20475049;14867972;O_SUP155
L55545 LUXOTTICA EURO;10907320;10907320;0;
L65655 LANCASTER - едхмюъ ебпною;0;0;14116318;
L98888 LEGO;0;0;15087679;
L99908 LANCEL BOUTIQUE;30771147;30771147;0;
L99989 LEGO OVERSEAS A/S;10907513;10907513;0;
L99999 LES COPAINS (BVM);22245319;22245319;0;
LA33312 LAMARTIS;45120901;45120901;0;
LA55516 LAMY-ALD INT;24329398;24329398;0;
LC0001 LES CONTES;40531999;40531999;15358688;
LC23456 LACOSTE - едхмюъ ебпною;0;0;14008246;
LG00037 кюйьепх цпсоо;0;0;16223041;
LG3333+ LINIYA-GRAFIK ZAO;20251636;20251636;0;
LP22222 L'OREAL PARIS;29342664;29342664;13934538;O_SUP024
LW20005 LOEWE PERFUMES;29202341;29202341;0;
M00008 MARKET CONNECTIONS;0;0;11380711;
M00056 PRICILLA CHAN;10924083;10924083;0;
M00137 MADARA бхйрнпхъ;0;0;16223781;
M00411 ннн лнкейскю;45125577;45125577;16223732;I_SUP411
M04660 ннн лхпюмх;0;0;16223637;
M10010 MOBILE ENERGY;10940038;10940038;0;
M10045 MEUKOW FELINE COGNAC;10907321;10907321;0;O_SUP500
M10049 MARS HOLLAND;10924084;10924084;0;O_SUP447
M10049 люпя цнккюмдхъ;0;0;15900160;
M10066+ MS HOLDING PLUS;10924081;10924081;0;
M10088 MARNE & CHAMPAGNE DIFFUSION;10924086;10924086;0;O_SUP522
M10096 AYDYA LTD TRAVALO MC;45121261;45121261;15981555;
M10555 MISAKI V.T.LTD;0;0;10902970;
M10980 MAJORICA EURO;10907324;10907324;0;O_SUP225
M11000 ьюпл OOO;0;0;10912570;
M11555 MANCERA ESTERK;32455976;32455976;0;
M12346 STARY MASTER OOO;10924116;10924116;0;
M12346 ярюпши люяреп мб ннн;0;0;10969454;I_SUP076
M12456 MEDVED TD OOO;40267364;40267364;0;
M16789 лъцйхи лхп OOO;27137465;27137465;0;
M20002 MONTBLANC SIMPLO GMBH;10907269;10907269;0;
M20031 MOSCHINO EUROITALIA;19241819;19241819;16064645;
M22223 MARUSYA BEVER RUSS OOO;25951767;25951767;0;
M23222 MORGAN & OATES;0;0;15981670;
M33000 юя-люпйер;0;0;13441619;
M33312 AS-MARKET;23768789;23768789;0;
M44118 MARCO POLO;10907517;10907517;0;
M44499 лепхдхюм рпеидхмц;0;0;13539670;
M51047 MISAKI VT LTD SKY;10907414;10907414;0;
M54321 MARCOLIN;10907415;10907415;0;
M54321 MARCOLIN GROUP;0;0;11103527;
M54789 LA MARQUISE;34274819;34274819;0;
M55545 SIA MONO;40062409;40062409;0;
M55555 MAV;40529713;40529713;0;
M56789 MOSCHINO - едхмюъ ебпною;0;0;14008128;
M71113 люпп псяяхъ ннн;0;0;16223418;I_SUP089
M73579 RAYMOND WEIL WATCHES;10907270;10907270;0;
M75321 MEIRA T;42567702;42567702;0;
M87654 MAISON MARTIN MARGIELA PBI;37221726;37221726;0;
M88899 MARCHON UK LTD;10923909;10923909;0;O_SUP097
M99945 MARKA;44667433;44667433;0;
M99979 MATTEL EUROPA;10907518;10907518;0;
M99989 EDRINGTON;10907325;10907325;0;
M99989 MAXXIUM TRAVEL RETAIL;10907325;10907325;0;
M99999 MAUI JIM SUNGLASSES;13641521;13641521;0;
MA252000 MAMIX;0;0;14050013;
MA8888 лхмхсл юпр йнкк;45125188;45125188;16223577;
MD GOURMEX LTD;36919341;36919341;15481810;O_SUP556
MF5432 MAX FACTOR -едхмюъ ебпною;0;0;16223727;
MHCS001 MHCS-SERVICE CLIENT&OPERATIONS LOGISTQUES;22297157;22297157;0;
MIL1234 лхкюп;0;0;15946888;
MJ33330 MARC JACOBS - едхмюъ ебпною;0;0;14008126;
MO00672 ATKINSONS;0;0;16223787;
MONTALE аюкрхйнл;41947842;41947842;16064641;
MP55555 MEPI;15934937;15934937;13934708;
MT12345 MAGIC TEXTILE TRADING LTD;39279514;39279514;0;
N10011 SAFILO;10907519;10907519;0;
N12333+ NASLEDIE;21910627;21910627;0;
N15150 NEMIROFF COMPANY;10907271;10907271;0;
N34420 NESTLE WORLD TRADE;10907521;10907521;0;
N55555 NAT OOO;32300083;32300083;0;
N66656 вхярне меан;0;0;16222844;I_SUP394
NA;0;0;0;
NB0001 NOUVELLE BAGUE;36316569;36316569;0;
NL654321 мейяхр кнцхярхй OOO;0;0;16064071;I_SUP369
