GLOSSARY_ID_DF;SWS_DF;GLOSSARY_ID_DP;SWS_DP;NAV_CODE;NAV_NAME
45122856;CELLULARLINE                   ;16223179;CELLULARLINE                   ;CELLULARLINE      ;CELLULARLINE                   
45122716;CEPIA                          ;;CEPIA                          ;;CEPIA                          
45122895;CERRUTI                        ;16222707;CERRUTI                        ;B00895            ;CERRUTI                        
45122666;CHABLIS                        ;;CHABLIS                        ;B00896            ;CHABLIS                        
45122667;CHABLIS VIEILLES VIGNES        ;;CHABLIS VIEILLES VIGNES        ;B00897            ;CHABLIS VIEILLES VIGNES        
45122157;CHANEL                         ;16222685;CHANEL                         ;CHANEL            ;CHANEL                         
45122403;CHAPELLE DE LA TRINITE         ;;CHAPELLE DE LA TRINITE         ;CHAPELLE          ;CHAPELLE DE LA TRINITE         
45122246;CHATEAU BATAILLEY              ;;CHATEAU BATAILLEY              ;CHATEAU BATAILLEY ;CHATEAU BATAILLEY              
45122247;CHATEAU BEAU-SITE              ;;CHATEAU BEAU-SITE              ;CHATEAU BEAU      ;CHATEAU BEAU-SITE              
45126157;CHATEAU BEL AIR                ;;CHATEAU BEL AIR                ;CHATEAU BEL AIR   ;CHATEAU BEL AIR                
45122790;CHATEAU BELLEVUE DE GALVESSE   ;;CHATEAU BELLEVUE DE GALVESSE   ;B00900            ;CHATEAU BELLEVUE DE GALVESSE   
45126158;CHATEAU BERGAT                 ;;CHATEAU BERGAT                 ;CHATEAU BERGAT    ;CHATEAU BERGAT                 
45122777;CHATEAU BOIS PERTUIS           ;;CHATEAU BOIS PERTUIS           ;B00902            ;CHATEAU BOIS PERTUIS           
45122782;CHATEAU CAP L`OUSTEAU          ;;CHATEAU CAP L`OUSTEAU          ;B00903            ;CHATEAU CAP L`OUSTEAU          
45122314;CHATEAU CAPET GUILLIER         ;;CHATEAU CAPET GUILLIER         ;CHATEAU CAPET     ;CHATEAU CAPET GUILLIER         
45122713;CHATEAU CHEVAL BLANC           ;;CHATEAU CHEVAL BLANC           ;B00927            ;CHATEAU CHEVAL BLANC           
45122783;CHATEAU CLAIR MOULIN           ;;CHATEAU CLAIR MOULIN           ;B00906            ;CHATEAU CLAIR MOULIN           
45122736;CHATEAU DE MARGAUX             ;;CHATEAU DE MARGAUX             ;B00907            ;CHATEAU DE MARGAUX             
45122780;CHATEAU DU BOIS CHANTANT       ;;CHATEAU DU BOIS CHANTANT       ;B00909            ;CHATEAU DU BOIS CHANTANT       
45126159;CHATEAU DU DOMAINE             ;;CHATEAU DU DOMAINE             ;CHATEAU DU DOMAINE;CHATEAU DU DOMAINE             
45122737;CHATEAU HAUT VINOGLE SEGUIN    ;;CHATEAU HAUT VINOGLE SEGUIN    ;B00910            ;CHATEAU HAUT VINOGLE SEGUIN    
45122289;CHATEAU HAUT-MADRAC            ;;CHATEAU HAUT-MADRAC            ;CHATEAU HAUT      ;CHATEAU HAUT-MADRAC            
45122839;CHATEAU HAUT-MOULEYRE          ;;CHATEAU HAUT-MOULEYRE          ;B00912            ;CHATEAU HAUT-MOULEYRE          
45122313;CHATEAU LA BOUADE              ;;CHATEAU LA BOUADE              ;CHATEAU LA BOUADE ;CHATEAU LA BOUADE              
45122628;CHATEAU LAGRANGE               ;;CHATEAU LAGRANGE               ;;CHATEAU LAGRANGE               
45122327;CHATEAU LAMOTHE GUIGNARD       ;;CHATEAU LAMOTHE GUIGNARD       ;B00914            ;CHATEAU LAMOTHE GUIGNARD       
45122626;CHATEAU LATOUR-MARTILLAC       ;;CHATEAU LATOUR-MARTILLAC       ;;CHATEAU LATOUR-MARTILLAC       
